timestep,speed_front_right,current_front_right,acceleration_front_right,speed_rear_right,current_rear_right,acceleration_rear_right,speed_rear_left,current_rear_left,acceleration_rear_left,speed_front_left,current_front_left,acceleration_front_left,angle_front,angle_rear
5821.0,-743.0,-374.0,1.0,-744.5,-328.0,1.0,772.5,694.9782608695652,1.0,826.25,756.0,1.0,-6.7275,6.795
5822.0,-739.0,-451.25,1.0,-750.0,-472.5,1.0,773.0,685.8260869565217,1.0,826.0,751.5,1.0,-6.68,6.77
5823.0,-734.5,-361.0,1.0,-752.5,-482.5,1.0,773.5,676.6739130434783,1.0,824.5,732.5,1.0,-6.68,6.77
5824.0,-727.5,-437.75,1.0,-747.0,-560.5,1.0,774.0,667.5217391304348,1.0,821.5,643.5,1.0,-6.71625,6.795
5825.0,-725.0,-485.5,1.0,-736.0,-575.25,1.0,774.5,658.3695652173913,1.0,810.5,642.0,1.0,-6.8075,6.875
5826.0,-721.0,-421.0,1.0,-730.0,-573.0,1.0,775.0,649.2173913043478,1.0,813.75,646.25,1.0,-6.86,6.77
5827.0,-715.75,-438.75,1.0,-718.25,-507.0,1.0,775.5,640.0652173913044,1.0,825.0,846.0,1.0,-6.86,6.77
5828.0,-710.0,-364.0,1.0,-715.0,-372.5,1.0,776.0,630.9130434782609,1.0,816.75,700.5,1.0,-6.86,6.77
5829.0,-715.0,-510.0,1.0,-725.5,-464.5,1.0,776.5,621.7608695652174,1.0,803.5,847.5,1.0,-6.86,6.94
5830.0,-708.0,-519.0,1.0,-723.0,-553.0,1.0,777.0,612.6086956521739,1.0,811.0,888.5,1.0,-6.8925,6.9625
5831.0,-702.5,-501.0,1.0,-722.0,-550.0,1.0,777.5,603.4565217391305,1.0,797.75,813.75,1.0,-6.86,6.94
5832.0,-697.0,-461.5,1.0,-719.5,-614.5,1.0,778.0,594.304347826087,1.0,787.0,803.0,1.0,-6.86,6.94
5833.0,-694.5,-486.0,1.0,-716.5,-709.5,1.0,778.5,585.1521739130435,1.0,788.0,855.5,1.0,-6.86,6.94
5834.0,-691.75,-323.5,1.0,-702.5,-506.5,1.0,779.0,576.0,1.0,791.75,804.75,1.0,-6.86,6.94
5835.0,-701.0,-637.5,1.0,-692.25,-431.75,1.0,778.952380952381,583.7142857142857,1.0,792.0,656.0,1.0,-6.86,6.94
5836.0,-695.5,-411.0,1.0,-698.0,-482.0,1.0,778.9047619047619,591.4285714285714,1.0,792.5,882.5,1.0,-6.86,6.94
5837.0,-700.5,-385.75,1.0,-717.0,-495.0,1.0,778.8571428571429,599.1428571428571,1.0,800.0,873.0,1.0,-6.86,6.94
